name,price,regular_price,discount_price,has_discount,url,source
DELONGHI ECAM21.117.W,1999.0,1999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam21117w.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM22.110.SB,1719.0,1719.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam22110sb.html,VEGA_GE
DELONGHI ECAM22.114.B,1762.0,1762.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam22114b.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM21.117.B,2019.0,2019.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam21117b.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM12.121.B,1429.0,1429.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam12121b.html,VEGA_GE
DELONGHI MAGNIFICA START ECAM220.22.GB,1429.0,1429.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-start-ecam22022gb.html,VEGA_GE
DELONGHI MAGNIFICA START ECAM220.31.SB,1899.0,1899.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-start-ecam22031sb.html,VEGA_GE
DELONGHI MAGNIFICA EVO ECAM290.31.SB,2129.0,2129.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-evo-ecam29031sb.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM250.31.SB,2199.0,2199.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam25031sb.html,VEGA_GE
DELONGHI MAGNIFICA START ECAM220.60.B,1999.0,1999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-start-ecam22060b.html,VEGA_GE
DELONGHI ECAM290.61.B,2099.0,2099.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam29061b.html,VEGA_GE
DELONGHI ECAM290.61.SB,2099.0,2099.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam29061sb.html,VEGA_GE
DELONGHI MAGNIFICA EVO ECAM290.81.TB,2149.0,2149.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-evo-ecam29081tb.html,VEGA_GE
DELONGHI DINAMICA ECAM350.55.B,2649.0,2649.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-ecam35055b.html,VEGA_GE
DELONGHI MAGNIFICA PLUS ECAM320.70.TB,2649.0,2649.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-plus-ecam32070tb.html,VEGA_GE
DELONGHI DINAMICA ECAM350.50.B,2719.0,2719.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-ecam35050b.html,VEGA_GE
DELONGHI DINAMICA PLUS ECAM380.85.SB,2859.0,2859.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-plus-ecam38085sb.html,VEGA_GE
DELONGHI RIVELIA EXAM440.35.B,2999.0,2999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44035b.html,VEGA_GE
DELONGHI RIVELIA EXAM440.35.W,2999.0,2999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44035w.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.B,2999.0,2999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055b.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.BG,2999.0,2999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055bg.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.G,3289.0,3289.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055g.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.W,3299.0,3299.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055w.html,VEGA_GE
DELONGHI RIVELIA EXAM441.55.GR,3289.0,3289.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44155gr.html,VEGA_GE
DELONGHI ELETTA CAPPUCCINO EVO ECAM46.860.B,3279.0,3279.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-cappuccino-evo-ecam46860b.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.55.S,3299.0,3299.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45055s.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.65.G,3299.0,3299.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45065g.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.65.S,3299.0,3299.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45065s.html,VEGA_GE
DELONGHI MAGNIFICA PLUS ECAM320.61.G,3719.0,3719.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-plus-ecam32061g.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.86.T,3799.0,3799.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45086t.html,VEGA_GE
DELONGHI DINAMICA PLUS ECAM380.95.TB,3799.0,3799.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-plus-ecam38095tb.html,VEGA_GE
DELONGHI ELETTA CAPUCHINO ECAM44.660.B,4649.0,4649.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam44660b.html,VEGA_GE
DELONGHI PRIMADONNA AROMATIC ECAM630.55.SSM,4999.0,4999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-aromatic-ecam63055ssm.html,VEGA_GE
DELONGHI PRIMADONNA AROMATIC ECAM630.75.TSM,5099.0,5099.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-aromatic-ecam63075tsm.html,VEGA_GE
DELONGHI PRIMADONNA SOUL ECAM610.74.MB,5149.0,5149.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-soul-ecam61074mb.html,VEGA_GE
DELONGHI PRIMADONNA SOUL ECAM610.55.SB,5999.0,5999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-soul-ecam61055sb.html,VEGA_GE
DELONGHI MAESTOSA EPAM960.75.GLM,8699.0,8699.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-maestosa-epam96075glm.html,VEGA_GE
DELONGHI ECAM21.117.SB,1999.0,1999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam21117sb.html,VEGA_GE
DELONGHI ECAM22.110.SB,1999.0,1999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam22110sb.html,VEGA_GE
DELONGHI DL ECAM450.55.S,3299.0,3299.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dl-ecam45055s.html,VEGA_GE
