index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url
61,Delonghi Magnifica S (ECAM21.117.B),1699.0,1699₾,1189.0,1189₾,1189.0,True,2025-10-07 12:54:27,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
62,DeLonghi PrimaDonna Aromatic (ECAM630.75.TSM),5099.0,5099₾,3569.0,3569₾,3569.0,True,2025-10-07 12:54:36,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
63,DeLonghi Coffee Machine Glasses (DLSC312),59.0,59₾,59.0,59₾,59.0,True,2025-10-07 12:54:51,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
64,Delonghi CTIN2103.W,449.0,449₾,319.0,319₾,319.0,True,2025-10-07 12:55:00,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
65,Delonghi CTOV2103.GR,369.0,369₾,259.0,259₾,259.0,True,2025-10-07 12:55:10,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
66,DeLonghi Brillante Kettle KBJ2001.BK,279.0,279₾,199.0,199₾,199.0,True,2025-10-07 12:55:19,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
67,DeLonghi KBJ2001.W 1.7L Electric Kettle White,279.0,279₾,199.0,199₾,199.0,True,2025-10-07 12:55:28,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
68,Delonghi CTJ2103.W,299.0,299₾,209.0,209₾,209.0,True,2025-10-07 12:55:37,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
69,Kimbo For DeLonghi Coffee DLSC611 Classic 1kg Beans,89.0,89₾,89.0,89₾,89.0,True,2025-10-07 12:55:52,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
70,DeLonghi Coffee DLSC616 Classico 1kg Beans,89.0,89₾,89.0,89₾,89.0,True,2025-10-07 12:56:08,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
71,Kimbo For DeLonghi Gourmet Set DLSC609 1Kg Beans,89.0,89₾,89.0,89₾,89.0,True,2025-10-07 12:56:23,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
72,DeLonghi Coffee Pack DLSC607 Decaffein 500g Beans,59.0,59₾,59.0,59₾,59.0,True,2025-10-07 12:56:38,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
73,DeLonghi Coffee Pack DLSC602 Crema 250g Beans,59.0,59₾,59.0,59₾,59.0,True,2025-10-07 12:56:54,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
74,DeLonghi Alicia Latte Milk Frother (EMF2.W),329.0,329₾,239.0,239₾,239.0,True,2025-10-07 12:57:03,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
