index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url,store
1,DeLonghi EC 9865 M La Specialista Maestro Cold Brew,3659.0,3 659.00₾,,,3659.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
2,Delonghi Eletta Explore ECAM450.65.G,3299.0,3 299.00₾,,,3299.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
3,DeLonghi Dinamica Plus (ECAM380.85.SB),3699.0,3 699.00₾,,,3699.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
4,DeLonghi Rivelia Arctic Coffee Machine Onyx Black EXAM440.55.B,3199.0,3 199.00₾,,,3199.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
5,DeLonghi EXAM440.55.BG Rivelia,3199.0,3 199.00₾,,,3199.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
6,Delonghi ECAM320.70.TB,2699.0,2 699.00₾,,,2699.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
7,DeLonghi La Specialista Arte Evo EC9255.M,1999.0,1 999.00₾,,,1999.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
8,DeLonghi La Specialista Arte Evo EC9255.T Espresso Coffee Machine – Titanium,1999.0,1 999.00₾,,,1999.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
9,DeLonghi Magnifica ECAM220.60.B,2099.0,2 099.00₾,,,2099.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
10,DeLonghi Magnifica Evo (ECAM290.42.TB),1669.0,1 669.00₾,,,1669.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
11,DeLonghi Magnifica S (ECAM22.110.SB),1999.0,1 999.00₾,,,1999.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
12,DeLonghi EC890.GR Dedica Duo,899.0,899.00₾,,,899.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
13,DeLonghi EC890.WI Dedica Duo,899.0,899.00₾,,,899.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
14,DeLonghi EC 885 BG Dedica Arte,960.0,960.00₾,,,960.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
15,DeLonghi ECI 341 BZ  Distinta,831.0,831.00₾,,,831.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
16,DeLonghi ECI 341 BK Distinta,831.0,831.00₾,,,831.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
17,Delonghi ECP31.21 B,520.0,520.00₾,,,520.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
18,Delonghi KBI 2001.R,389.0,389.00₾,,,389.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
19,DeLonghi KBIN2001.W,385.0,385.00₾,,,385.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
20,DeLonghi CTOV2103.GR,359.0,359.00₾,,,359.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
21,DeLonghi CTOV2103.AZ,359.0,359.00₾,,,359.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
22,DeLonghi CTI 2103 R Distinta,359.0,359.00₾,,,359.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
23,DeLonghi CTOE 2103 R Icona Elements,339.0,339.00₾,,,339.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
24,DeLonghi KBD2001.BK,289.0,289.00₾,,,289.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
25,DeLonghi CTO21.AZ,255.0,255.00₾,,,255.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
26,DeLonghi KBJ2001.W,279.0,279.00₾,,,279.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
27,DeLonghi CTJ2103.W,209.0,209.00₾,,,209.0,False,2025-10-08 10:02:44,https://dimkava.ge/brand/delonghi/,DIM_KAVA
