index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url
1,DeLonghi Dinamica (ECAM350.55.B),2649.0,2649₾,1859.0,1859₾,1859.0,True,2025-10-07 12:11:12,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
2,DeLonghi Dedica Manual Espresso Coffee Maker (EC685.R),799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:11:43,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
3,DeLonghi Dedica Manual Espresso Coffee Maker (EC685.BK),799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:12:13,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
4,DeLonghi Dedica Manual Espresso Coffee Maker (EC685.W),799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:12:43,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
5,DeLonghi Coffee Machine Glasses (DLSC310),39.0,39₾,39.0,39₾,39.0,True,2025-10-07 12:13:33,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
6,DeLonghi Coffee Machine Glasses (DLSC311),49.0,49₾,49.0,49₾,49.0,True,2025-10-07 12:14:24,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
7,DeLonghi Dedica Manual Espresso Coffee Maker (EC885.BG),819.0,819₾,579.0,579₾,579.0,True,2025-10-07 12:14:54,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
8,DeLonghi Eletta Explore (ECAM450.65.S),3299.0,3299₾,2309.0,2309₾,2309.0,True,2025-10-07 12:15:24,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
9,DeLonghi Eletta Explore (ECAM450.65.G),3299.0,3299₾,2309.0,2309₾,2309.0,True,2025-10-07 12:15:54,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
10,DeLonghi Eletta Explore Titanium (ECAM450.86.T),3799.0,3799₾,2659.0,2659₾,2659.0,True,2025-10-07 12:16:24,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
11,DeLonghi Magnifica Start ECAM220.31.SB,1899.0,1899₾,1329.0,1329₾,1329.0,True,2025-10-07 12:16:54,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
12,DeLonghi Rivelia (EXAM440.55.BG),2999.0,2999₾,2099.0,2099₾,2099.0,True,2025-10-07 12:17:25,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
13,DeLonghi MC INT1 DL EXAM440.55.B S11,2999.0,2999₾,2099.0,2099₾,2099.0,True,2025-10-07 12:17:55,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
14,DeLonghi Rivelia (EXAM440.55.W),2999.0,2999₾,2099.0,2099₾,2099.0,True,2025-10-07 12:18:25,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
15,DeLonghi Vacuum Coffee Canister (DLSC063),59.0,59₾,59.0,59₾,59.0,True,2025-10-07 12:19:15,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
16,DeLonghi Coffee Care Kit (DLSC306),69.0,69₾,69.0,69₾,69.0,True,2025-10-07 12:20:05,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
17,DeLonghi Delonghi EC685.M Dedica,799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:20:36,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
18,DeLonghi DLSC301 6BICC-CAPPUCCINO 190ML DL,149.0,149₾,149.0,149₾,149.0,True,2025-10-07 12:21:26,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
19,DeLonghi Dedica Duo EC890.M,849.0,849₾,599.0,599₾,599.0,True,2025-10-07 12:21:56,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
