index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url,store
1,DeLonghi EC 9865 M La Specialista Maestro Cold Brew,3659.0,3 659.00₾,2899.0,2 899.00₾,2899.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
2,Delonghi Eletta Explore ECAM450.65.G,3299.0,3 299.00₾,2635.0,2 635.00₾,2635.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
3,Eletta Explore ECAM450.65.S,3105.0,3 105.00₾,2635.0,2 635.00₾,2635.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
4,DeLonghi Dinamica Plus (ECAM380.85.SB),3699.0,3 699.00₾,2499.0,2 499.00₾,2499.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
5,DeLonghi Rivelia Arctic Coffee Machine Onyx Black EXAM440.55.B,3199.0,3 199.00₾,2399.0,2 399.00₾,2399.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
6,DeLonghi EXAM440.55.BG Rivelia,3199.0,3 199.00₾,2399.0,2 399.00₾,2399.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
7,De Longhi La Specialista EC9455.M,2599.0,2 599.00₾,2300.0,2 300.00₾,2300.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
8,Delonghi ECAM320.70.TB,2699.0,2 699.00₾,2299.0,2 299.00₾,2299.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
9,DeLonghi La Specialista Arte Evo EC9255.M,1999.0,1 999.00₾,1590.0,1 590.00₾,1590.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
10,DeLonghi La Specialista Arte Evo EC9255.T Espresso Coffee Machine – Titanium,1999.0,1 999.00₾,1590.0,1 590.00₾,1590.0,True,2025-10-13 11:28:38,https://dimkava.ge/brand/delonghi/,DIM_KAVA
